일자	언론사	제목	본문
20210829	중앙일보	"취준생 입사희망 1위 남성은 삼성 여성은 카카오, 차이 보니"	"대학생 취업준비생 중 남성은 삼성, 여성은 카카오에 가장 입사하길 희망한다는 설문조사 결과가 나왔다. 
 
 29일 잡코리아에 따르면 4년제 대학 대학생 및 취준생 692명을 대상으로 ‘가장 취업하고 싶은 그룹사’에 대해 조사한 결과 삼성이 응답률 45.4%로 1위를 차지했다. 이어 카카오그룹(42.6%)이 근소한 차이로 2위에 올랐다. 이어 네이버(2.."
20210829	서울경제	신인 아이돌? 알고보니 '디지털휴먼'이네	게임업계가 그동안 쌓아온 그래픽 기술을 활용해 ‘진짜 사람’에 가깝게 구현한 ‘디지털 휴먼’으로 메타버스 시장에서 차별화에 나서고 있다. 디지털 휴먼이란 인공지능(AI) 챗봇과 컴퓨터 그래픽 기술 등을 합쳐 만든 가상 인간이다. 주요 게임업계는 디지털 휴먼 분야에서 앞선 기술력에 공격적인 투자까지 더해 메타버스 엔터테인먼트 사업 진출을 추진하고 있다. ..
20210829	아시아경제	"""3년간 4만명 채용"" 삼성, 취준생이 입사하고 싶은 그룹 1위"	"[아시아경제 김흥순 기자] 2023년까지 4만명을 채용하겠다고 공언한 삼성이 대학생과 취업준비생들로부터 가장 취업하고 싶은 그룹으로 뽑혔다. 
 
29일 취업포털 잡코리아가 전국 4년제대 대학생과 취준생 692명을 대상으로 '가장 취업하고 싶은 그룹사'를 조사해 발표한 결과 삼성은 응답자 45.4%의 선택을 받아 전체 1위에 올랐다. 이어 카카오(42..."
20210829	조선일보	"남성 취준생 입사 희망 1위는 삼성, 여성 취준생은?"	"삼성그룹이 대학생과 취준생이 가장 취업하고 싶은 그룹으로 꼽혔다. 다만 여성 대학생 취준생 사이에서는 카카오가 1위에 꼽혔다. 
 
취업포털 잡코리아는 최근 전국 4년제대 대학생과 취업준비생 692명을 대상으로 ‘가장 취업하고 싶은 그룹사’를 조사한 결과(복수응답), 이같이 나왔다고 29일 밝혔다. 
 
조사에 참여한 대학생과 취준생 절반에 가까운 45.."
20210828	아시아경제	"50조원 中시장 '던파' 지고, '검은사막' 뜨나[부애리의 게임사전]"	"[아시아경제 부애리 기자]펄어비스의 '검은사막 모바일'이 50조원에 육박하는 중국 게임시장 진출을 본격화하면서 신흥 강자로 부상할 것인지 세간의 관심이 쏠리고 있다. 반면 중국 '국민 게임' 대우를 받았던 넥슨의 '던전앤파이터(던파)'는 최근엔 영향력이 예전 같지 않은 모양새다. 
 
28일 펄어비스에 따르면 전날부터 검은사막 모바일은 중국 공식 홈페이.."
20210828	경기일보	저가 기기ㆍ대량 생산ㆍ콘텐츠 개발 투자 중국 게임기에 국내산 '잠식'	"우리나라 게이머 손에 ‘중국산 콘솔’이 쥐어지고 있다. 

올 상반기 국내 문화체육관광품 상당수의 수출액이 높아진 가운데 유독 ‘게임기기’는 수입액이 크게 증가한 것으로 나타났다. 

특히 중국이 수입 점유율 90% 이상을 차지하면서 우리나라도 콘텐츠 개발 등 투자를 늘려 해외 의존도를 낮춰야 한다는 목소리가 나온다. 

한국문화관광연구원의 ‘2021년.."
20210827	매일경제	게임업계는 요즘 일본 원작 IP 봇물	"최근 들어 국내 게임 업계에서 ‘일본 원작’ 열풍이 분다. 게임 업체마다 일본 만화 애니메이션 게임 원작을 바탕으로 한 작품을 연달아 내놓는다. 일본 제품 불매운동이 계속되는 등 국내의 반일감정이 여전히 높은 상태지만, 게임 업계에서는 딴 나라 이야기다. 오히려 인기 일본 원작을 내세운 게임들이 승승장구하는 분위기다.
넷마블은 올해 6월 일본 게임 ‘니.."
20210827	아시아경제	"넥슨, 하반기 인턴십 '넥토리얼' 정직원급 파격 대우"	"[아시아경제 강나훔 기자] 넥슨이 하반기 채용형 인턴십 ‘넥토리얼’을 진행한다. 경쟁력 있는 사원을 선발하기 위해 정규직과 동일한 급여와 복지, 개인별 맞춤 성장 프로그램 등 파격적인 조건을 내세웠다. 
 
27일 넥슨에 따르면 다음달 6일까지 넥슨 컴퍼니 채용 홈페이지에서 넥토리얼 참여자 지원을 접수받는다. 서류 검토, 직무역량 검사 및 면접 전형을 .."
20210827	조선일보	"[스타트업] 3″ Q: 모두의넷마블, 방준혁과 마스코트를 아시나요"	"뉴스레터 [스타트업]에서 발송한 콘텐츠입니다. 매주 화/목/금 레터를 발송하는 유료 멤버십입니다. 스타트업 콘텐츠를 모은, 회원 전용 아카이브 [쫌아는아카이브]도 제공합니다. 가입을 원하면 [클릭] 하세요. 네이버에선 이 링크입니다. https://page.stibee.com/subscriptions/143087 
 
쫌잘나가는 스타트업의 브랜드 평가,.."
20210827	중앙일보	"[비즈스토리] 신규 IP 개발, 플랫폼 확장, 인재 투자  중장기 성장 경쟁력 확보 나서"	"넥슨 
 
 
 
 넥슨이 신규 IP(지식재산권) 개발 및 플랫폼 확장, 과감한 인재 투자를 통해 중장기 성장 모멘텀 확보에 나섰다. 이와 함께 신작 출시에서도 속도 보다 완성도를 우선으로 하는 개발 전략을 내세우며 글로벌 시장 공략에 박차를 가할 계획이다. 
 
 넥슨은 지난해 선택과 집중을 강조한 경영 기조를 기반으로 게임 업계 최초 연 매출 3조원.."
20210826	조선일보	비트코인 가격 1%만 올라도 수십배 차익 남는 거래의 정체	"26일 오후 5시 조선일보 경제 유튜브 채널 ‘조선일보 머니’와 조선닷컴 홈페이지를 통해서 공개된 ‘코인 파헤치기’는 조선일보 경제부 차장이자 경제학 박사인 방현철 기자가 진행자로 나서서 코인 전문가인 이수호 테크M 부사장과 토크쇼 형식으로 진행됐습니다. ‘코인 파헤치기’는 글로벌 가상화폐, 암호화폐, 코인 시장의 최근 동향과 대응 전략을 전문가들과 알.."
20210826	문화일보	"넥슨, 파격적 채용형 인턴십 정규직 수준 급여 복지 제공"	"사내평가 통과시 전원채용 

내달 6일까지 지원서 접수



넥슨이 올해 하반기에 채용형 인턴십인 ‘넥토리얼’을 진행한다. 정규직과 동일한 급여와 복지를 제공하는 것은 물론 역량을 갖춘 인재는 인원 제한 없이 정규직으로 전환하기로 했다. 넥토리얼은 본격적인 게임을 시작하기에 앞서 게임의 세계관과 조작법 등을 익히는 ‘튜토리얼’에 ‘넥슨’을 결합한 이름이.."
20210826	YTN	빨라진 채용시장 대기업 공채 줄고 IT 그룹사 증가	"하반기 공채 시즌이 시작하는 9월을 앞두고 대기업 공채 일정 발표가 시작됐다. 대부분의 대기업이 수시채용으로 전환한 가운데 SK그룹이 마지막 공채 일정을 알렸다.

SK그룹은 올해까지 수시채용과 공채를 병행한다. 따라서 지금 오픈한 그룹 공채에는 SK 주식회사 C&C, SK이노베이션, SK E&S, SK실트론, SK바이오팜 등 5개 사가 참여한다. SK.."
20210825	디지털타임스	"[THE GAME] ""마블 히어로 끝내줘!"" ""블소도 흥미진진해!"""	"국내 게임 업계가 2N(넷마블 엔씨소프트)의 신작 출시로 들썩이고 있다. 넷마블과 엔씨소프트는 하루 차이로 하반기 대작을 선보이며 치열한 경쟁을 펼친다. 이들은 하반기 야심작으로 상반기 부진을 털고 분위기 반전에 나선다는 구상이다.



25일 게임 업계에 따르면 넷마블은 이날 오후 5시 글로벌 240여개국에 모바일 오픈월드 액션 RPG(역할수행게임) .."
20210825	머니투데이	"커머스와 금융까지 장착한 와디즈, '스케일업 종합 플랫폼' 발돋움"	"[머니투데이 최태범 기자] [신혜성 대표 ""비상장 증권거래소 설립 등 금융사업 강화...스타트업뿐 아니라 1인 창작자도 펀딩 지원""]

 국내 최대 크라우드펀딩 플랫폼 와디즈가 달라진다. 일회적인 펀딩을 넘어 커머스 플랫폼으로 진화하는 동시에 스타트업 등 비상장 기업에 대한 증권 투자 대출 업무까지 맡는 '스타트업 종합금융사'로 발돋움한다. 

설립 1.."
20210825	서울경제	베일 벗는 블소2 마퓨레 하반기 '게임대전' 막 오른다	"전통의 게임 강자 엔씨소프트(036570)(NC)와 넷마블(251270)이 나란히 신작 다중접속역할게임(MMORPG)을 내놓는다. 불매운동과 인건비 상승으로 실적이 악화된 만큼 양사 모두 이번 신작에 사활을 걸고 있다. 최근 넥슨이 ‘코노스바 모바일’을 출시한 만큼 올 하반기 3N의 신작 승부에서 어디가 웃게될 지 관심이 집중된다. 
 

 25일 업계.."
20210825	헤럴드경제	"포르쉐코리아, ‘포르쉐 그란 투리스모 컵 아시아 태평양’ 대회 공동 개최"	"[헤럴드경제 원호연 기자]포르쉐코리아 25일 E스포츠 대회 ‘포르쉐 그란 투리스모 컵 아시아 태평양 (Porsche Gran Turismo Cup Asia Pacific)’ 대회를 공동 개최한다고 밝혔다. 
 
 ‘포르쉐 그란 투리스모 컵 아시아 태평양’ 대회는 소니인터랙티브엔터테인먼트의 플레이스테이션(PlayStation®) 4용 그란 투리스모 스포트.."
20210825	매일경제	"[피플] ""넥슨과 누구나 배울 수 있는 무료 코딩플랫폼 개발"""	"""토끼 얼굴과 물이 들어 있는 다섯 개의 컵을 보여줍니다. A라는 컵의 물을 마시면 귀가 커지고 B의 물을 마시면 코가 커지고 다른 컵들도 다 그런 규칙이 하나씩 있어요. 갑자기 아이들이 몰려와서 각자 물을 한 컵씩 마셨어요. 누가 어떤 물을 마셨을까요?""
김동윤 비브라스코리아 대표는 '컴퓨팅 사고(Computational Thinking)'의 중요성을.."
20210825	파이낸셜뉴스	넥슨에서 꿈 이루세요 채용연계 인턴 모집	"넥슨컴퍼니(넥슨)는 오는 9월 6일까지 2021년도 하반기 채용형 인턴십 '넥토리얼' 지원자를 모집한다고 24일 밝혔다. 이번 인턴십은 넥슨코리아, 넥슨네트웍스, 넥슨지티, 넷게임즈, 니트로스튜디오 등 5개 법인이 참여한다.
 

 
모집 부문은 △게임기획 △게임 프로그래밍 △게임아트 △게임 사업 △엔지니어 △분석가 △게임 품질보증(QA) △게임서비스 .."
20210824	서울신문	넥슨은 인턴도 연봉 5천 상당 급여지급 파격 조건에 ‘인재 모시기’	"넥슨이 연봉으로 따지면 5000만원에 해당하는 월 급여를 제공하는 조건으로 인턴 사원을 모집한다. 세자릿수의 대규모 모집으로 계획돼 있다. 충분한 능력을 지닌 인재라고 판단되면 인원제한과 상관없이 모두 채용할 계획도 밝혔다. 국내 정보기술(IT) 게임 업계에 인력난이 심각한 상황속에서 넥슨이 파격적 조건을 제시하면서 ‘인재 모시기’ 경쟁에 나섰다.
넥슨.."
20210824	한국경제	서학개미 '톱픽' 10년 변천사 일본제철→차이나가스→테슬라	"‘강남 큰손들, 중국 소비주 집중 투자.’ 
 
2015년 서울 강남의 한 프라이빗뱅커(PB)가 언론과 한 인터뷰 기사의 제목이다. 중국 주식 직접투자에 대한 문의가 빗발쳐 눈코 뜰 새 없이 바쁜 날을 보내고 있다는 내용이었다. 그가 관리하는 고객 중 한 명은 중국 소비주를 집중 매수해 두 달 만에 50% 수익을 냈다고 설명했다. 
 
2014년 말 중.."
20210824	매일경제	"넥슨, 정직원 인원 제한 없는 인턴십 시작"	"넥슨 컴퍼니가 대규모 신입 인턴십 프로그램을 시작한다. 정규직 직원과 같은 급여와 복지를 제공하고, 인원 제한없이 정직원 전환도 가능한 조건이다.
넥슨 컴퍼니는 8월 24일부터 9월 6일까지 2021년도 하반기 채용형 인턴십 '넥토리얼' 지원자를 모집한다고 밝혔다. 넥슨코리아, 넥슨네트웍스, 넥슨지티, 넷게임즈, 니트로스튜디오 등 5개 법인이 참여하는 .."
20210824	디지털타임스	"넥슨 컴퍼니, 하반기 채용형 인턴십 ‘넥토리얼’ 공개 모집"	"넥슨 컴퍼니가 내달 6일까지 2021년도 하반기 채용형 인턴십 '넥토리얼' 지원자를 모집한다고 24일 밝혔다. 이번 인턴십은 넥슨코리아, 넥슨네트웍스, 넥슨지티, 넷게임즈, 니트로스튜디오 등 5개 법인이 참여한다.



모집 부문은 △게임기획 △게임프로그래밍 △게임아트 △게임사업 △엔지니어 △분석가 △게임QA △게임서비스 △경영지원 등 전 부문이다. 게.."
20210824	전자신문	"3N, 4년만에 신작 격돌 연말 2차전까지 예고"	"대한민국 게임산업을 대표하는 넥슨, 엔씨소프트, 넷마블이 이달 일제히 대형 신작을 내놓고 3년 만에 격돌한다. 연말에 추가 출시가 예정돼 일회성에 그치지 않고 올 하반기 내내 총력전이 벌어질 전망이다.

24일 업계에 따르면 대형 게임사가 비슷한 시기에 신작을 출시한다. 대형 3사는 지난달 출시된 카카오게임즈 '오딘'에 매출 1위 자리를 내준 모바일 게.."
20210824	서울경제	"넥슨, 하반기 채용연계형 인턴십 실시 9월 6일 접수 마감"	"넥슨은 하반기 채용연계형 인턴십 ‘넥토리얼’ 지원자를 모집한다고 24일 밝혔다. 
 

 
 
 이번 인턴십은 넥슨코리아, 넥슨네트웍스, 넥슨지티(041140), 넷게임즈, 니트로스튜디오 등 5개 법인이 참여한다. 모집 부문은 ▲게임기획 ▲게임프로그래밍 ▲게임아트 ▲게임사업 ▲엔지니어 ▲분석가 ▲게임QA ▲게임서비스 ▲경영지원 등 전 부문이다. 기졸업자.."
20210824	서울신문	[데스크 시각] 영앤드리치의 시대/주현진 산업부장	"젊은 부자, 영앤드리치(young and rich)란 20~30대의 젊은 나이에 막대한 부를 축적한 사람을 말한다. 스타트업을 통해 부자가 된 사업가, 10대 시절부터 기획사 연습생으로 시작해 유명인이 된 연예인, 혹은 거액의 몸값을 자랑하는 스포츠 스타가 대표적이다. 공통적인 건 일반인은 쉽게 만질 수 없는 큰돈을 부모로부터 물려받은 게 아니라 본인의.."
20210824	경상일보	"울산과학대, '현장미러형 실습실' 실무 유사경험 가능"	"울산은 주력산업인 자동차, 조선, 석유화학 등의 전통적인 제조업 뿐 아니라 관련한 품질관리 및 산업안전, 보건의료 분야와 4차 산업혁명 관련해 IT, 디지털콘텐츠 분야에서도 많은 인력 수요가 발생하고 있다. 울산시도 이에 발맞춰 미래자동차, 에너지신산업, 스마트 친환경 선박 분야에 대한 집중 투자로 미래산업 기반 확충과 지역 청년 일자리 창출을 적극 추.."
20210823	디지털타임스	"""구글 애플 붙어보자"" 국내 앱마켓 반격"	"구글 애플 등 글로벌 앱 마켓 사업자를 겨냥한 규제가 본격화하는 가운데 국내 토종 사업자인 원스토어가 대반격에 나선다. 경쟁사 대비 저렴한 수수료와 결제 수단의 다양성을 앞세워 '글로벌 멀티 OS(운영체제) 콘텐츠 플랫폼'으로 거듭나겠다는 구상이다.



이재환 원스토어 대표는 23일 온라인으로 진행된 비전 선포 간담회에서 ""국회에서 추진하고 있는 일명.."
20210823	아주경제	"비교기업 부풀리고, 부채 감추고 IPO 공모가 '꼼수' 옥석 가려야"	"[표=아주경제] 
 
 
최근 공모주 투자는 절정기를 맞았다. 지난해부터 공모주 투자 열풍이 불면서 최근 주식 거래 활동 계좌수가 사상 처음으로 5000만개를 넘기도 했다. 하지만 공모주 투자라고 항상 달콤한 수익을 기대하긴 힘들다. 공모주에도 옥석이 있기 때문이다. 최근 일부 종목은 상장 첫날 공모가를 밑도는 주가를 형성하며 씁쓸한 실패사례를 남겼다..."
20210823	중앙일보	따상 못하면 어때 실적이 이렇게 좋은데 ‘배그’ 파워 오래 간다[앤츠랩]	"부자들의 놀이터? 하지만 이젠 아닙니다. 공모주 얘긴데요. 지난해부터 열기가 아주 뜨겁죠? 2020년 SK바이오팜, 빅히트(하이브), 카카오게임즈로 예열했다면 올해는 SK아이이테크놀로지, SK바이오사이언스, 카카오뱅크까지! 이젠 전 국민의 놀이터! 카뱅은 증거금으로 받았다가 돌려준 환급금만 무려 58조원. ‘극강의 경쟁률+따상’은 이제 낯설지 않은 장면.."
20210823	아주경제	"이재환 원스토어 대표 ""글로벌 멀티 OS 콘텐츠 플랫폼 될것 2025년 7000억원 매출 목표"""	"이재환 원스토어 대표가 23일 열린 온라인 기자간담회에서 '글로벌 멀티OS 콘텐츠 플랫폼'으로의 성장 비전을 선포하고 있다. [사진=원스토어 제공] 
 
""원스토어는 글로벌 멀티 운영체제(OS) 콘텐츠 플랫폼으로 거듭나겠다."" 
 
23일 온라인으로 진행된 '원스토어 비전 선포' 기자간담회에서 이재환 원스토어 대표는 이처럼 말했다. 
 
원스토어는 지난.."
20210823	한국경제	"역주행 로스트아크, 16년 장수 서든어택 PC 게임 '견고한 흥행'"	국내 게임사들이 유통하는 PC 게임들이 최근 잇따라 인기몰이 중이다. 신규 콘텐츠를 추가하면서다. 국내외 PC 게임 시장이 다시 커지면서 게임업체들이 PC 게임 개발에 박차를 가하고 있다. 로스트아크 이용자 급증스마일게이트RPG가 유통하는 게임 ‘로스트아크’가 지난 11일 최대 동시 접속자 수 24만 명을 돌파했다. 3년(2018년) 전 나온 게임이 다..
20210823	매일경제	"'토종 앱마켓' 원스토어, ""글로벌 플랫폼 되겠다"""	"국내 대표 앱마켓 원스토어가 해외 진출을 선언했다. 유명 게임 콘텐츠를 해외 모바일 환경에서도 그대로 서비스를 하게 해서, 해외 시장을 공략하겠다는 것이다. 오는 2025년까지 매출도 지금보다 4배 이상 더 늘리겠다는 구체적인 목표치도 제시했다.
이재환 원스토어 대표는 23일 온라인으로 열린 비전발표회에서 ""원스토어는 우리나라 앱마켓에 가장 빠르게 성장.."
20210823	전자신문	'원스토어' 반독점 분위기 타고 글로벌 진출한다	"앱마켓 원스토어가 내년 해외 시장에 진출한다. 대형 게임사, 통신사, 플랫폼사와 협력을 통해 반독점 목소리가 높은 앱마켓 시장에서 영향력을 확대한다. 대형게임, 크로스플랫폼, 현지 선호 결제 수단이 구글과 애플에 대항하는 원스토어 무기다.

이재환 원스토어 대표는 23일 온라인으로 열린 비전발표회에서 “원스토어는 우리나라 앱마켓에 가장 빠르게 성장하고 .."
20210823	매일경제	장현국 위메이드 대표 신작 게임 ‘잭팟’ 블록체인에도 도전장	"게임 제작사 위메이드의 질주가 매섭다. 판교와 여의도에서 연일 존재감을 과시한다. 상반기 게임업체들 실적이 줄줄이 하락하는 와중에 드물게 실적 선방에 성공했다. 2021년 2분기 위메이드는 매출 690억원, 영업이익 270억원을 기록했다. 매출은 전년 동기 대비 175% 올랐고 영업이익은 2분기 연속 흑자 행진을 이어갔다. 위메이드는 데브시스터즈와 더불.."
20210823	문화일보	"< Leadership 클래스 >김범수, 창업 M&A ‘끝없는 도전’ 뒤 전문가에 ‘경영 위임’ 재산 절반 사회환원도"	"■ 대한민국 최고 부호 오른 김범수 카카오 의장



순자산 15조2000억원 보유

국내 1위 세계 170위 올라



2010년 카카오톡 성공한 뒤

다음 등 공격적인 인수 합병

자회사 150여개 대기업 등극



“가장 잘 이해 판단할 사람이

의사결정을 하는 구조가 돼야”

적임자에게 계열사 전적 위임



김범수(55) 카카오 창업자 겸 이사.."
20210823	한국경제	[커버스토리] 미성년자는 부모와 함께 증권계좌를 만들어야 해요	"카카오뱅크 삼성전자 주인이 될 수 있다고? 
 
학생들도 기업의 주인이 될 수 있습니다. 정말입니다. 학생들이 기업을 직접 만들기는 어렵지만, 당장 기업의 주인이 될 수 있습니다. 어떻게요? 여러분이 기업의 주식을 한 주라도 사면 여러분은 이 회사의 주인입니다. 주식회사가 본래 그렇습니다. 주식회사의 주인은 주주이기 때문입니다. 투자한 액수만 다를 뿐 .."
20210822	매일경제	역전 또 역전 MK챌린지 사상최고의 승부	"무더운 여름도, 장마 빗줄기도 카트 드라이버들의 폭발적인 질주를 막지는 못했다. 올해로 6회를 맞는 MK챌린지에서는 사상 가장 치열한 경기가 펼쳐졌고 연세대 '연어주밥' 팀이 우승의 영광을 안았다. 트로피를 차지하기 위한 대학생 게이머들의 '카트라이더 러쉬플러스(카러플)' 한판 승부가 열린 곳은 지난 20일 오후 서울 선릉 VSG아레나였다. 치열한 예선.."
20210822	전자신문	"슈퍼캣, 인기 IP로 세계 시장 공략"	"슈퍼캣(대표 김영을)이 유명 지식재산권(IP)을 활용한 차기작 개발과 함께 조직 규모를 키워 글로벌 경쟁력 확보에 나선다. 
 
슈퍼캣은 캐주얼 역할수행게임(RPG)에 강점을 가진 개발사다. 넥슨 슈퍼 IP '바람의 나라'를 모바일로 이식하며 개발력을 인정받았다. 작년 대한민국게임대상에서 스타트업 기업상을 받았다. 
 
'좀비고등학교(아오오니 레전드)'.."
20210822	중앙일보	따상 못하면 어때 실적이 이렇게 좋은데 ‘배그’ 파워 오래 간다[앤츠랩]	"부자들의 놀이터? 하지만 이젠 아닙니다. 공모주 얘긴데요. 지난해부터 열기가 아주 뜨겁죠? 2020년 SK바이오팜, 빅히트(하이브), 카카오게임즈로 예열했다면 올해는 SK아이이테크놀로지, SK바이오사이언스, 카카오뱅크까지! 이젠 전 국민의 놀이터! 카뱅은 증거금으로 받았다가 돌려준 환급금만 무려 58조원. ‘극강의 경쟁률+따상’은 이제 낯설지 않은 장면.."
20210821	아주경제	"[인터뷰] “‘코노스바 모바일’, 원작 애니 완벽 고증... 몰입감 높은 한국어 더빙 매력”"	"넥슨 신작 모바일게임 '코노스바 모바일' 이미지 [사진=넥슨 제공] 
 
 
넥슨이 지난 19일 신작 모바일게임 ‘코노스바 모바일 판타스틱 데이즈(이하 코노스바 모바일)’를 국내와?글로벌 시장에 정식 출시했다. 
 
일본 애니메이션 ‘이 멋진 세계에 축복을!’을 기반으로 한 이번 신작은 원작의 독특하고 코믹한 세계관을 계승한 게 특징이다. 게임 내 풀스.."
20210821	머니투데이	BTS가 한국에 가져다 주는 돈 얼마? 해외서 보는 눈이 달라졌다	"[머니투데이 유승목 기자, 정현수 기자, 윤지혜 기자] [편집자주] [편집자주] 일본 동남아 등 아시아권 '골목대장'에 불과했던 '한류'의 위상이 달라졌다. 방탄소년단(BTS)이 '다이너마이트'로 빌보드 차트를 석권했고, 영화 '기생충'이 칸과 아카데미 영화제를 연달아 석권하며 헐리우드의 콧대를 꺾었다. 1960년대 비틀즈를 필두로 영국 음악 문화가 선.."
20210820	매일경제	"""카러플 아이템전 이렇게 재밌었어?"" MK챌린지 흥미진진"	"올해로 6회째를 맞는 MK챌린지 사상 가장 치열한 경기가 펼쳐지며 연세대학교 연어주밥팀이 우승의 영광을 안았다. 20일 오후 서울 선릉 VSG아레나에서 트로피를 차지하기 위한 대학생 게이머들의 '카트라이더 러쉬플러스(이하 카러플)' 한판 승부가 열렸다. 8팀의 본선 경기를 진행한 결과, 연어주밥 팀이 7차례 트랙을 돈 끝에 4대3으로 부경대학교 똥스 팀.."
20210820	머니투데이	"배그로 시작해 배그로 끝? 新한류 된 게임, 대작 쏟아진다"	"[머니투데이 윤지혜 기자] [편집자주] 일본 동남아 등 아시아권 '골목대장'에 불과했던 '한류'의 위상이 달라졌다. 방탄소년단(BTS)이 '다이너마이트'로 빌보드 차트를 석권했고, 영화 '기생충'이 칸과 아카데미 영화제를 연달아 석권하며 헐리우드의 콧대를 꺾었다. 1960년대 비틀즈를 필두로 영국 음악 문화가 선풍적인 인기를 끌던 '브리티시 인베이전'에.."
20210820	국민일보	"아프리카TV, 초중고 e스포츠 대회 ‘SeN 챌린지’ 개최"	"전국 초?중?고 최강 아마추어를 가리는 e스포츠 대회 ‘SeN 챌린지’가 열린다. 
 
아프리카TV는 성남시, 성남산업진흥원과 함께 전국 단위의 e스포츠 리그 ‘SeN(성남 e스포츠) 챌린지’를 연다고 20일 밝혔다. 이날부터 참가자 모집이 시작됐다. 전국 초?중?고 학생들의 학교대항전인 이 대회는 아프리카TV가 운영사로 참여해 대회를 생중계할 예정이다.."
20210820	조선일보	"[스타트업] 3″ Q : 한글 워드 프로세서 시대를 연 기업, 한글과컴퓨터 브랜드 조사"	"뉴스레터 [스타트업]에서 발송한 콘텐츠입니다. 매주 화/목/금 레터를 발송하는 유료 멤버십입니다. 스타트업 콘텐츠를 모은, 회원 전용 아카이브 [쫌아는아카이브]도 제공합니다. 가입을 원하면 [클릭] 하세요. 네이버에선 이 링크입니다. https://page.stibee.com/subscriptions/143087 
 
쫌잘나가는 스타트업의 브랜드 평가,.."
20210820	머니투데이	"크래프톤, 장초반 상승 공모가 웃돌아"	"[머니투데이 김근희 기자] [특징주]

크래프톤이 5거래일 연속 상승하면서 장 중 공모가(49만8000원)를 웃돌고 있다. 

20일 오전 9시3분 현재 크래프톤은 전날보다 1만1500원(2.34%) 오른 50만4000원에 거래되고 있다.

크래프톤은 지난 10일 상장 첫날 공모가 49만8000원보다 10% 낮은 44만8500원에 시초가를 형성했다. 다.."
20210819	디지털타임스	"""구글에 안 밀린다 모바일광고 `게임의 룰` 잡을 것"""	"""애플과 구글이 모바일 시장을 지배하고 있지만, 데이터와 AI(인공지능) 기술이 있으면 그들이 만든 '룰'에 휘둘리지 않을 수 있다. 전세계 광고주와 모바일 이용자들을 실시간 연결, 글로벌 대표 모바일광고 기업으로 자리 잡겠다.""



광고와 IT를 결합한 애드테크 시장이 급성장하는 가운데, 한국인 AI 전문가가 미국 실리콘밸리에 설립한 스타트업이 글로.."
20210819	머니투데이	코스피 3100선 밑으로 하락장 속 카카오뱅크 영화테크 상승	"[머니투데이 김근희 기자] [영화테크 상한가 코스피 시총상위 카카오 카뱅 빼고 하락]

 19일 국내 증시가 연내 테이퍼링(자산매입 축소) 시행에 대한 우려로 크게 하락했다. 다만 이같은 상황에서도 영화테크는 상한가를 기록하며 장을 마쳤다. 또 코스피 시가총액 상위 종목들이 일제히 하락한 가운데 카카오와 카카오뱅크 주가는 올랐다. 

이날 한국거래소에 .."
20210819	헤럴드경제	[특징주] 반격 나선 크래프톤 장중 공모가 회복	"[헤럴드경제=정순식 기자] 상장 이후 주가가 공모가 밑으로 급락했던 게임업체 크래프톤의 주가가 본격적인 반등에 나서고 있다. 19일 급등세를 보이며 장중 한때 공모가를 회복했다. 
 
 이날 유가증권시장에서 크래프톤은 전날보다 5.01% 상승한 49만2500에 거래를 마쳤다. 
 
 지난 10일 상장한 크래프톤은 이날 장중 한때 49만8500원까지 뛰어.."
20210819	조선일보	김택진 “마지막이란 각오로” 전세계 린저씨 겨냥한 ‘리니지W’ 나온다	"19일 김택진 엔씨소프트 대표는 회사의 대표 게임인 ‘리니지’ 시리즈의 신작을 발표하는 온라인 간담회에서 “지난 24년의 역사를 집대성해, 마지막이라는 각오로 만든 새로운 리니지를 공개한다”고 밝혔다. 모바일과 PC에서 모두 즐길 수 있는 신작의 이름은 ‘리니지W(월드)’. 내수용 게임이던 리니지가 본격 해외시장 공략에 나선다는 뜻을 담았다. 
 
김 .."
20210819	매일경제	설움 떨친 크래프톤...상장후 첫 49만원 돌파하며 공모가 추월	"청약때부터 공모가 고평가 논란에 시달려온 크래프톤 주가가 49만원을 돌파했다. 상장 후 처음으로 장중 한때 공모가를 웃돌기도 했다.
19일 한국거래소에서 크래프톤은 전날보다 5.01% 오른 49만2500원에 거래를 마쳤다. 지난 13일부터 4거래일 연속 상승세다. 지난 12일 40만6000원에 거래를 마친 크래프톤은 13일부터 현재까지 22% 넘게 뛰었.."
20210819	디지털타임스	"넥슨, 신작 `코노스바 모바일` 정식 출시"	"넥슨이 신작 모바일 게임 '코노스바 모바일 판타스틱 데이즈'를 국내를 비롯한 세계 시장에 출시했다고 19일 밝혔다.



코노스바 모바일은 한국어를 비롯해 영어, 독일어, 프랑스어, 스페인어, 포르투갈어, 러시아어, 일본어 등 총 8개 언어를 지원한다.



코노스바 모바일은 지난달 초 사전 예약을 진행해 사전 예약자 150만명을 달성했다. 애니메이션 .."
